а: a
абед: lunch
абмежаваная: limited
абрыс: outline
абутак: footwear
агні: lights
ад: from
адзенне: clothes
адзення: clothes
адзін: one
адзінаццатай: eleventh
адзінаццаць: eleven
адзінка: unit
адкрытае: open
адкрыты: open
адна: one
адно: one
адну: one
адным: one
адпачынак: vacation
адпачынку: rest
адчувае: feels
адчуваем: feel
адчуваць: feel
адчуваю: feel
акна: window
акно: window
але: but
англійскай: english
англічанін: englishman
англічанінам: englishman
англіі: england
апельсін: orange
апельсінаў: oranges
апельсіны: oranges
апошні: last
апранае: wears
апранаць: wear
апранаўся: wore
аранжавую: orange
аранжавы: orange
асноўныя: basic
асцярожны: careful
аўта: car
аўтобус: bus
аўторак: tuesday
б: be
б'е: beats
бабуля: grandmother
бабуляй: grandmother
багатай: rich
бакі: sides
балець: hurt
баляць: hurts
баліць: hurts
банан: banana
бананаў: bananas
бартэк: bartek
баскетбол: basketball
бацька: father
бацькам: parent
бацькоў: parents
бацьку: father
бачу: see
бачым: see
бачымся: see
бачыць: see
бачыш: see
баяўся: afraid
бег: ran
бегае: runs
бегаць: run
бегаюць: run
без: without
белае: white
белая: white
белую: white
белы: white
белыя: white
бліжэйшы: nearest
блізка: near
блін: pancake
блішчаць: shine
богам: god
бок: side
бок/напрамак: side/way
боку: side
брат: brother
брата: brother
братам: brother
братамі: brothers
братоў: brothers
брыдкі: ugly
брыдкія: ugly
будзе: will
будзем: will
будзеце: will
будзеш: will
буду: will
будуе: builds
будуць: will
бутэлек: bottles
бутэлька: bottle
бутэлькі: bottles
бы: would
была: was
было: was
былі: were
быць: be
быў: was
бялізна/штаны: underwear/trousers
бяспекі: security
бібліятэка: library
бібліятэкі: library
бібліятэцы: library
вада: water
вадой: water
ваду: water
вады: water
важная: important
важны: important
вакзал: station
валасы: hair
вас: you
васемнаццаць: eighteen
вачах: eyes
ваша: your
ваўку: wolf
ведае: knows
ведаць: know
ведаю: know
ведаюць: know
веку: age
вельмі: very
верасень: september
весела: cheerfully
весці: lead
вецер: wind
вечар: evening
возера: lake
вока: eye
волас: hair
восем: eight
восемдзесят: eighty
восемсот: eight hundred
восень: autumn
востры: sharp
восьмай: eighth
восьмы: eighth
вочы: eyes
воўк: wolf
вуліца: street
вуліцы: street
вуха: ear
вухам: ear
вучань: student
вучнем: student
вучням: students
вучнямі: students
вучымся: learn
вучыце: learn
вучыцца: learn
вы: you
выгляд: figure
высокая: high
высокі: tall
выхадны: weekend
вышэй: taller/higher
вядзе: leads
вядуць: lead
вязе: carries
вялікая: big
вялікую: big
вялікі: big
вяртанне: return
вяртання: return
вясна: spring
вясной: spring
вясёла: joyful
вясёлы: cheerful
вячэра: dinner
вячэру: dinner
вячэры: dinner
відэлец: fork
відэльцам: fork
відэльцы: forks
віна: wine
вінаград: grapes
вінаградніку: vineyard
віно: wine
вісець: hang
вісіць: hangs
вітаем: welcome
вітаньне: greeting
вішня: cherry
гавару: speak
гаварыць: speak
гаварыў: spoke
гаворым: speak
гаворыць: speaks
гаворыш: speak
гадзін: hours
гадзіна: hour
гадзіне: hour
гадзіннік: clock/watch
гадзіннікаў: clocks
гадзіну: hour
гадзіны: hour
галава: head
галаве: head
гандурас: honduras
гара: mountain
гарадах: cities
гарады: cities
гарамі: mountains
гарачы: hot
гаршчку: pot
гаршчок: pot
гарэлкі: vodka
гатаваць: cook
гатаваць/варыць: cook/fry
гатовы: ready
гатуе: cooks
гатуем: cook
гатуецца: preparing
гатэль: hotel
гатэля: hotel
германіі: germany
гладкая: smooth
глядзець: watch
глядзяць: watch
глядзім: watch
глядзіць: watches
глядзіш: watch
гнеў: anger
гняўліва: angrily
гняўлівы: angry
год: year
горад: city
горадзе: city
горда: proudly
горды: proud
грае: plays
групай: group
груша: pear
грушы: pears
грэе: warms
грэць: heat
гульня: game
гуляе: plays
гуляем: play
гуляць: play
гуляю: play
гэта: this
гэтая: this
гэты: this
гэтым: this
гэтых: those
гэтыя: these
гітары: guitar
да: to
дабранач: goodnight
давай: let's
даваць: give
дадаецца: added
дадому: home
дае: gives
даем: give
даеш: give
дажджу: rain
дай: give
дайце: give
дакументы: documents
далёка: far
даліна: valley
даліну: valley
дам: give
дамоў: home
дапамагае: helps
дапамагаем: help
дапамагалі: helped
дапамагаць: help
дапамагла: helped
дар: gift
дарагое: expensive
дарога: road
дарогу: road
дасце: give
дасць: give
дасі: give
даць: give
дачка: daughter
дачкой: daughter
даю: give
даюць: give
даўно: already
два: two
дванаццатай: twelfth
дванаццаць: twelve
дваццаць: twenty
дзве: two
дзверы: doors
дзвесце: two hundred
дзвярэй: door
дзе: where
дзевяноста: ninety
дзевятай: ninth
дзевятнаццаць: nineteen
дзевяты: ninth
дзевяць: nine
дзевяцьсот: nine hundred
дзевяцьсотны: nine hundredth
дзед: grandfather
дзедам: grandfather
дзень: day
дзесяць: ten
дзецьмі: children
дзеці: children
дзьме: blowing
дзядзька: uncle
дзядзькам: uncle
дзякуй: thank
дзяржава: nation
дзяржавай: nation
дзяржавы: nation
дзясятай: tenth
дзяўчына: girl
дзён: days
дзённік: diary
дзіця: child
для: for
днём: day
добра: good
добрае: good
добрай: good
добрая: good
добры: good
добрыя: good
дождж: rain
долар: dollar
долараў: dollars
долары: dollars
дом: house
дома: home
домам: house
доме: home
доўгая: long
доўгую: long
доўгі: long
доўгія: long
доўжыцца: lasts
другой: second
другі: second
дрыжанне/страх: tremor/fear
дрэва: tree
дрэвамі: trees
дрэве: tree
дрэнны: bad
дуб: oak
дуба: oak
думае: think
дурасцяў: foolish
дурны: stupid
дух: spirit
душу: soul
душы: soul
дыня: melon
едзе: travels
еду: go/drive
едуць: go/drive
ежа: food
ежай: food
ежу: food
ежы: food
ем: eat
есць: eats
есці: eat
есі: eat
ехаць: go/drive
ж: be
жаба: frog
жабам: frogs
жабе: frog
жан: women
жаночы: female
жанчын: women
жанчына: woman
жанчыне: woman
жанчыну: woman
жанчыны: women
жнівень: august
жніўні: august
жонкай: wife
жонку: wife
жоўтае: yellow
жоўты: yellow
жыве: lives
жывем: live
з: from
з/із: from
за: for
завуць: name
заданне: assignment
заданняў: assignments
зайздрасць: envy
зайздросна: jealous
займаюцца: work
заканчваецца: ends
закрытыя: closed
занадта: too
запіс: note
запісаў: notes
зараз: now
захад: west
захадзе: west
заходзіць: enters
заходні: western
заўсёды: always
заўтра: tomorrow
звер: animal
зверам: animal
зверу: animal
звязаць: connect/tie
звязвае: connects
здаровае: healthy
здаровы: healthy
здаровы/прывіт: healthy/hello
здароўе: health
здароўя: health
злая: angry
злы: angry
злыя: angry
змяняецца: changes
змяняцца: change
