a: jedna
about: òbjim
above: nade
add: przëdać
added: dodôł
afraid: przestraszóny
after: pò
age: wiek
air: lëft
alone: sam
already: ju
also: téż
always: zawże
am: jem
an: jeden
and: ë
anger: gniew
angrily: gniewno
angry: gniewny
animal: zwierzã
anything: wszëtkò
apple: jabkò
april: łżëkwiôt
are: są
artist: ùmiejca
as: jakò
ashamed: wstidno
ask: pëtac
asks: pëtô
assignment: zadanié
assignments: zadanja
at: przë
at/by: przë
august: zélnik
aunt: cëc
autumn: jeséń
avenue: alejô
away: precz
bad: złi
bag: tôrba
banana: banan
bananas: bananë
bartek: bartek
basic: pòdstawòwi
basketball: kòszëkówka
be: bëc
bear: niedwiedz
beats: bije
beautiful: piãkny
beautifully: piãkno
because: dlôte
bed: łózko
beer: piwò
before: przed
behind: za
better: lepi
between: midzë
bicycle: kòło
bicycles: kòła
big: wiôldżi
bird: ptôch
birds: ptôchë
black: czôrnô
blonde: blond
bloom: kwitnąc
blowing: wiéjący
blue: mòdrô
body: czało
bone: kòsc
bones: kòscë
book: knéga
books: knédżi
boring: nudny
bottle: bùtelka
bottles: bùtelczi
bought: kùpił
bowl: miska
boy: chłopc
boys: chłopcë
brain: mòzg
brandy: brawart
brave: dëlni
bread: chléb
breakfast: sniôdanié
bridge: mòst
bring: przińc
broken: złómóné
brother: brat
brothers: brałtë
brown: brunô
building: bùdowanié
bus: autobus
but: ale
butter: masło
buy: kùpic
buying: kùpòwac
by: przë
can: mòże
car: auto
careful: òstrozny
carries: niese
carry: niésc
carrying: niesen
cat: kòt
cats: kòtë
center: centrum
chair: stólc
change: zmienic
changing: zmienianié
cheerful: drëszny
cheese: syr
cherry: czëresznia
chess: szachë
chest: klata
chestnut-colored: kasztanowi
child: dzecë
children: dzecë
church: kòscół
cinema: kino
circle: kòło
cities: miasta
city: gard
clean: czësti
clock: zegar
clock/watch: zegar
clocks: zegarë
closed: zamkłé
clothes: òblaczenié
cloud: chmùra
clouds: chmùrë
cloudy: chmùrni
coat: palt
coffee: kòwa
cold: zëmny
color: farba
colors: farwë
comes: przëchòdzy
comfortable: wësmodny
compass: kòmpas
complex: kòmpléksowi
computer: kòmpùter
computers: kòmpùterë
connect/tie: spòlëc
connects: spòli
controls: kòntrolëje
conversation: gôdka
cook: warzëc
cooking: warzënié
country: kraj
croat: Chorwat
croatian: chorwacczi
culture: kùltura
cup: zôlta
customer: klijent
cut: rëznąc
da: jo
dance: tuńcowac
dark: cemni
daughter: córka
day: dzéń
days: dnie
december: gòdnik
desk: biórkò
diary: dodów
did: zrobiał
didn't: nie zrobiał
difficult: tëdżi
dinner: jôda
discount: zniżka
dish: tôlerz
do: robic
do/make: robic
doctor: doktor
documents: dokùmentë
does: robi
dog: pies
dogs: psë
dollar: dolar
dollars: dolarë
don't: nié
door: dzwi
doors: dzwi
dot: pùnkt
down: na dół
draw: malowac
drawer: szuflada
drawing: malowanié
dream: dromić
dress: sukienka
drink: pic
drinking: picé
drinks: pijô
driver: kierowca
drives: jezdzë
dry: sëchi
dumpling: klôska
each: kòżdi
ear: ùcho
earth: zemia
east: pòrénk
eastern: pòrénkòwi
eastward: na pòrénk
eat: jesc
eating: jedzenié
eats: jé
egg: jajkò
eggs: jajka
eight: òsmë
eighteen: òsmnôsce
eighth: òsmë
eighty: òsmëdzését
eleven: jedenôsce
eleventh: jedenôsty
emotion: emocjô
empty: pùsti
end: kùńc
energy: energiô
engineer: inżinier
england: Anielskô
english: anielsczi
englishman: Anielsczi
envy: zazdroba
evening: wieczór
every: kòżdi
everything: wszëtkò
excuse: przebaczëc
expensive: drodżi
eye: òkò
eyes: òczë
face: lëco
fall: padac
falling: spadac
family: rodzëzna
far: dalekò
fast: chùtczi
fat: tëłsti
father: òjc
favorite: ulëbiony
fear: strach
february: gromicznik
feel: czëc
feels: czëje
feet: stópa
female: żeńskô
field: pòle
fields: pòla
fifteen: piętnôsce
fifth: piąti
