a: a
abo: or
ale: but
angielsku: English
anglije: England
anglik: Englishman
anglikym: Englishman
apelsina: orange
apelsinowo: orange
apelsinowy: orange
apelsiny: oranges
apelsinōw: oranges
artysta: artist
auto: car
autobus: bus
bab: women
baba: woman
babka: grandmother
babkōm: grandmother
baby: women
babōm: women
banan: banana
bananōw: bananas
banhof: station
banhofie: station
bartek: Bartek
barzij: more
bez: without
bezpiyczyństwa: security
biblijoteka: library
bieganie: running
biegać: run
bije: beats
biołe: white
bioło: white
bioły: white
biygajōm: running
biygŏ: runs
bliski: nearest
blisko: near
bliszczeć: shine
bliszczōm: shining
blum: flower
blumy: flowers
bogatōm: rich
bogiem: God
bojoł: afraid
bolać: hurt
boli: hurts
bolōm: hurt
brat: brother
brata: brother
bratach: brothers
bratami: brothers
bratym: brother
bratōm: brothers
brzidke: ugly
brzidki: ugly
by: by
bych: would
byda: will be
bydzymy: will be
bydōm: will be
bydźe: will be
bydźecie: will be
bydźesz: will be
byli: were
być: be
byś: would
byście: would
byśmy: would
bōk: side
bōkami: sides
bōku: side
bōł: was
bōła: was
bōło: was
cena: price
centrum: center
cesta: road
chca: want
chce: want
chcesz: want
chcieć: want
chcymy: want
chlyb: bread
chlyba: bread
chmur: clouds
chmura: cloud
chmury: clouds
chop: man
chopym: man
chopōw: men
chorwacku: Croatian
chować: hide
chowo: hides
chudo: thin
chudy: thin
ci: you
ciała: body
ciało: body
ciałowi: body
ciche: quiet
cicho: quiet
cichy: quiet
cie: you
ciebie: you
ciekawy: interesting
ciele: body
ciepłe: warm
ciepło: warm
ciepły: warm
cine: cinema
ciotka: aunt
ciotkōm: aunt
citrōna: lemon
ciynżke: heavy
ciynżki: heavy
ciynżko: heavily
co: what
cug: train
cugōw: trains
cuker: sugar
cukra: sugar
cyntrum: center
cyrpieć: suffer
czas: time
czasu: time
czasym: times
czego: what
czopka: hat
czopki: hat
czowiek: person
czterdzieści: forty
czterysta: four hundred
czuja: feel
czuje: feels
czujymy: feel
czuć: feel
czwartek: Thursday
czym: what
czyrwiec: June
czyrwone: red
czyrwōne: red
czyrwōno: red
czyrwōny: red
czyste: clean
czysto: clean
czysty: clean
czytać: read
czytosz: reads
czytōm: reading
często: often
czŏrne: black
czŏrno: black
czŏrny: black
cōrka: daughter
cōrkōm: daughter
dajesz: give
daleko: far
danie: dish
danie/talyrz: dish/plate
darōnek: gift
dej: give
dejcie: give
dlo: for
dmie: blowing
dni: days
do: to
dobre: good
dobrej: good
dobro: good
dobry: good
dobryj: good
dobrze: well
dodŏwŏ: adds
dojzdrzało: ripe
dojzdrzały: ripe
dokumynty: documents
dolar: dollar
dolary: dollars
dolarōw: dollars
dolina: valley
dować: give
dowo: gives
dowōmy: give
drapanie: tremor
droga: road
drogi: expensive
