а: а
about: про
above: вище
add: додати
added: додано
afraid: боятися
after: після
age: вік
air: повітря
alone: сам
already: вже
also: також
always: завжди
am: є
an: ан
and: і
anger: гнів
angrily: сердито
angry: злий
animal: тварина
anything: будь-що
apple: яблуко
april: квітень
are: є
artist: художник
as: як
ashamed: соромно
ask: запитати
asks: питає
assignment: завдання
assignments: завдання
at: в
at/by: у/біля
august: серпень
aunt: тітка
autumn: осінь
avenue: проспект
away: геть
bad: поганий
bag: сумка
banana: банан
bananas: банани
bartek: бартек
basic: основний
basketball: баскетбол
be: бути
bear: ведмідь
beats: б'є
beautiful: красивий
beautifully: красиво
because: тому що
bed: ліжко
beer: пиво
before: перед
behind: позаду
better: краще
between: між
bicycle: велосипед
bicycles: велосипеди
big: великий
bird: птах
birds: птахи
black: чорний
blonde: блондин
bloom: цвітіння
blowing: дме
blue: синій
body: тіло
bone: кістка
bones: кістки
book: книга
books: книги
boring: нудний
bottle: пляшка
bottles: пляшки
bought: купив
bowl: миска
boy: хлопчик
boys: хлопчики
brain: мозок
brandy: бренді
brave: сміливий
bread: хліб
breakfast: сніданок
bridge: міст
bring: принести
broken: зламаний
brother: брат
brothers: брати
brown: коричневий
building: будівля
bus: автобус
but: але
butter: масло
buy: купити
buying: купівля
by: за
can: може
car: автомобіль
careful: обережний
carries: несе
carry: нести
carrying: несе
cat: кіт
cats: коти
center: центр
chair: стілець
change: змінити
changing: змінюється
cheerful: веселий
cheese: сир
cherry: вишня
chess: шахи
chest: груди
chestnut-colored: каштановий
child: дитина
children: діти
church: церква
cinema: кіно
circle: коло
cities: міста
city: місто
clean: чистий
clock: годинник
clock/watch: годинник/наручний годинник
clocks: годинники
closed: зачинено
clothes: одяг
cloud: хмара
clouds: хмари
cloudy: хмарно
coat: пальто
coffee: кава
cold: холодний
color: колір
colors: кольори
comes: приходить
comfortable: зручний
compass: компас
complex: складний
computer: комп'ютер
computers: комп'ютери
connect/tie: з'єднати/зв'язати
connects: з'єднує
controls: контролює
conversation: розмова
cook: готувати
cooking: готування
country: країна
croat: хорват
croatian: хорватський
culture: культура
cup: чашка
customer: клієнт
cut: різати
da: да
dance: танець
dark: темний
daughter: дочка
day: день
days: дні
december: грудень
desk: стіл
diary: щоденник
did: зробив
didn't: не зробив
difficult: важкий
dinner: вечеря
discount: знижка
dish: страва
do: робити
do/make: робити/зробити
doctor: лікар
documents: документи
does: робить
dog: собака
dogs: собаки
dollar: долар
dollars: долари
don't: не роблять
door: двері
doors: двері
dot: крапка
down: вниз
draw: малювати
drawer: шухляда
drawing: малювання
dream: мрія
dress: сукня
drink: пити
drinking: пиття
drinks: напої
driver: водій
drives: водить
dry: сухий
dumpling: вареник
each: кожен
ear: вухо
earth: земля
east: схід
eastern: східний
eastward: на схід
eat: їсти
eating: їсть
eats: їсть
egg: яйце
eggs: яйця
eight: вісім
eighteen: вісімнадцять
eighth: восьмий
eighty: вісімдесят
eleven: одинадцять
eleventh: одинадцятий
emotion: емоція
empty: порожній
end: кінець
energy: енергія
engineer: інженер
england: англія
english: англійська
englishman: англієць
envy: заздрість
evening: вечір
every: кожен
everything: все
excuse: вибачте
expensive: дорогий
eye: око
eyes: очі
face: обличчя
fall: падіння
falling: падає
family: сім'я
far: далеко
fast: швидкий
fat: товстий
father: батько
favorite: улюблений
fear: страх
february: лютий
feel: відчувати
feels: відчуває
feet: стопи
female: жіночий
field: поле
fields: поля
fifteen: п'ятнадцять
fifth: п'ятий
fifty: п'ятдесят
figure: фігура
figures: фігури
filled: заповнений
film: фільм
find: знайти
finger: палець
first: перший
fish: риба
five: п'ять
flame: полум'я
floor: підлога
flower: квітка
flowers: квіти
flows: тече
food: їжа
foolish: дурний
foot: ступня
football: футбол
footwear: взуття
for: для
forest: ліс
fork: вилка
forks: вилки
forty: сорок
fountain: фонтан
four: чотири
fourteen: чотирнадцять
fourth: четвертий
frank: франк
fresh: свіжий
friday: п'ятниця
friend: друг
friends: друзі
frightened: наляканий
frog: жаба
from: від
frost: мороз
frying: смаження
full: повний
game: гра
german: німецький
germany: німеччина
gift: подарунок
girl: дівчинка
give: дати
gives: дає
glass: скло
glove: рукавичка
gloves: рукавички
go: йти
go/drive: йти/їхати
god: бог
goes: йде
going: йде
gone: пішов
good: добрий
granddaughter: онука
grandfather: дідусь
grandmother: бабуся
grandson: онук
grapes: виноград
grass: трава
green: зелений
greener: зеленіший
greet: вітати
greeting: вітання
greetings: вітання
grey: сірий
ground: земля
group: група
grow: рости
grows: росте
guitar: гітара
had: мав
hair: волосся
hand: рука
hands: руки
hang: вішати
hangs: висить
has: має
hat: капелюх
have: мати
having: маючи
he: він
he/she/it: він/вона/воно
head: голова
health: здоров'я
healthy: здоровий
healthy/hello: здоровий/привіт
hear: чути
hears: чує
heart: серце
heat: тепло
heats: гріє
heavy: важкий
hello: привіт
help: допомога
helped: допоміг
helps: допомагає
her: її
here: тут
hide: ховати
hides: ховає
high: високий
him: його
himself: сам
his: його
hockey: хокей
hold: тримати
holds: тримає
home: дім
honduras: гондурас
horse: кінь
hot: гарячий
hotel: готель
hour: година
house: будинок
houses: будинки
how: як
hundred: сто
hundredth: сотий
hurt: боляче
hurts: болить
husband: чоловік
i: я
i'm: я
if: якщо
important: важливий
in: в
ink: чорнило
inside: всередині
interesting: цікавий
into: в
is: є
isn't: немає
it: це
january: січень
jealous: ревнощі
joy: радість
joyful: радісний
joyfully: радісно
juice: сік
july: липень
june: червень
just: просто
kind: добрий
kitchen: кухня
knife: ніж
knives: ножі
know: знати
known: відомий
knows: знає
lake: озеро
lamp: лампа
landscape: пейзаж
language: мова
languages: мови
larger: більший
last: останній
late: пізній
laugh: сміх
laughs: сміється
lazy: лінивий
lead: вести
leads: веде
leaf: лист
learn: вчитися
learning: навчання
leaves: листя
left: лівий
leg: нога
legs: ноги
lemon: лимон
less: менше
let's: давай
letters: листи
library: бібліотека
lie: лежати
lies: лежить
light: світло
like: як
likes: любить
limit: межа
